Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_369.jpg;0;0;0;2.034481;107.8613;93.22433;359.8249;30.83439;359.1982
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_436.jpg;0;0;0;2.027667;108.0007;93.30795;359.8529;30.83468;359.2379
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_503.jpg;0;0;0;2.020836;108.1048;93.37026;359.8625;30.83544;359.2839
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_568.jpg;0;0;0;2.011811;108.2084;93.43225;359.8638;30.83585;359.3416
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_636.jpg;0;0;0;2.005119;108.3458;93.51438;359.8499;30.83556;359.4302
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_704.jpg;0;0;0;1.998437;108.4483;93.57565;359.8312;30.83602;359.5048
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_770.jpg;0;0;0;1.989472;108.5504;93.63665;359.8081;30.83632;359.584
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_836.jpg;0;0;0;1.982797;108.686;93.71754;359.7692;30.83607;359.6907
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_903.jpg;0;0;0;1.97612;108.7872;93.77792;359.7357;30.83587;359.7697
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_21_969.jpg;0;0;0;1.967215;108.888;93.83804;359.7003;30.83569;359.8461
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_036.jpg;0;0;0;1.960536;109.0219;93.91787;359.6524;30.83551;359.9417
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_102.jpg;0;0;0;1.953857;109.122;93.9775;359.6173;30.83542;0.007422353
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_169.jpg;0;0;0;1.944799;109.222;94.03686;359.5971;30.82983;0.05281527
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_236.jpg;0;0;0;1.937889;109.3551;94.1159;359.5867;30.8239;0.09607718
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_305.jpg;0;0;0;1.930921;109.4545;94.1751;359.5841;30.82277;0.1218657
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_370.jpg;0;0;0;1.92184;109.5537;94.23409;359.5935;30.81841;0.1306448
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_437.jpg;0;0;0;1.91528;109.6854;94.31255;359.6019;30.81791;0.1419175
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_504.jpg;0;0;0;1.908655;109.784;94.37114;359.6165;30.81438;0.1356135
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_571.jpg;0;0;0;1.89986;109.9146;94.44904;359.6304;30.81397;0.1277186
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_638.jpg;0;0;0;1.89341;110.0122;94.50721;359.637;30.81396;0.1195026
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_705.jpg;0;0;0;1.884769;110.1095;94.56513;359.6469;30.81139;0.1028132
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_773.jpg;0;0;0;1.878257;110.2387;94.64214;359.6574;30.81073;0.08013269
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_839.jpg;0;0;0;1.871889;110.3351;94.69964;359.6611;30.81071;0.06319043
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_906.jpg;0;0;0;1.863433;110.4311;94.75691;359.6615;30.81071;0.04652045
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_22_973.jpg;0;0;0;1.857114;110.5586;94.83293;359.6603;30.80925;0.02187399
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_23_039.jpg;0;0;0;1.850645;110.6539;94.88976;359.6619;30.80815;0.001120024
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_23_106.jpg;0;0;0;1.842272;110.7488;94.94638;359.6607;30.80802;359.9828
